,Name,Neighborhood,Price,Votes,agg_rating
602,Parrillada el Carbón Rojo ,El Dorado/Bethania,18,114,10.5
463,Sushi House (Marbella) ,Marbella/Area Bancaria,18,740,11.2
612,Palo E Mango Garden Spot ,Albrook/Clayton,18,107,11.8
441,Churreria Manolo (Albrook Mall) ,Albrook/Clayton,18,349,12.4
469,Leños & Carbón (Albrook Mall) ,Albrook/Clayton,18,361,11.1
497,Churrería Manolo (Costa del Este) ,Costa del Este,18,523,11.9
440,Las Hadas (Costa del Este) ,Costa del Este,18,427,12.1
514,Portolá Restaurante & Lounge ,San Francisco,18,396,11.5
435,Churreria Manolo  (Obarrio) ,Obarrio,18,622,12.2
226,La Tapa del Coco ,San Francisco,18,1506,13
345,Oh - Toro (Costa del Este) ,Costa del Este,18,378,12.7
340,Crepes & Waffles (Town Center) ,Costa del Este,18,425,12.9
334,Taberna la Malagueña ,El Carmen/El Cangrejo,18,505,13.3
231,Sabor de La India ,Bella Vista,18,641,11.8
332,Taco T   Taquerias (San Francisco) ,San Francisco,18,513,12.6
325,Oh - Toro (San Francisco) ,San Francisco,18,663,12.7
268,Crepes & Waffles (Altaplaza Mall) ,Condado del Rey,18,822,13
234,Jumbo ,El Dorado/Bethania,18,396,11.8
312,Dainer 16 ,San Francisco,18,1532,12.6
245,La Rotisería ,Albrook/Clayton,18,178,13.3
246,We Fresh Market (Costa del Este) ,Costa del Este,18,150,13
294,Hippies ,Casco Antiguo,18,192,13.1
279,Taco T Taquerias  (Costa del Este) ,Costa del Este,18,410,12.7
272,Crepes & Waffles (Multiplaza) ,Paitilla/Punta Pacifica,18,710,12.7
372,Oh - Toro (El Dorado) ,El Dorado/Bethania,18,139,12.9
215,Zi Maria (Albrook) ,Albrook/Clayton,18,79,13.7
264,Wings Famous Grill ,Paitilla/Punta Pacifica,18,1083,12.9
210,Taj Mahal ,Obarrio,18,224,12.3
434,El Mesón del Prado ,El Dorado/Bethania,18,624,12
405,Ramen 81 ,San Francisco,18,213,12.8
394,Los Tarascos (Bella Vista) ,Bella Vista,18,371,12
310,Bad Gallo ,Costa del Este,19,2094,13.4
425,Las Hadas (San Francisco) ,San Francisco,19,1402,11.8
253,Prohealth Shop Cafe ,San Francisco,19,98,13.2
426,Tacontento (Multiplaza) ,Paitilla/Punta Pacifica,19,1327,12.4
519,Istmo Brew Pub (El Cangrejo) ,El Carmen/El Cangrejo,19,178,11.9
523,Panama Brews ,Marbella/Area Bancaria,19,122,12.6
289,Pizza Is Love ,San Francisco,19,277,13.8
287,Perú Chicken ,Obarrio,19,289,12.6
529,La Cevicheria Panama ,Marbella/Area Bancaria,19,299,10.3
220,Hamburguesía ,San Francisco,19,3055,13.4
244,Nacionsushi (El Cangrejo) ,El Carmen/El Cangrejo,19,180,13.4
283,Yakitori ,San Francisco,19,331,13
438,Charro Mexicano (Calle 50) ,San Francisco,19,542,11.5
260,Slabón Café Bistró (Costa del Este) ,Costa del Este,19,2223,12.6
261,Slabón Café Bistró (Obarrio) ,Obarrio,19,2094,12.8
539,Chinita ,Costa del Este,19,153,11.8
273,4 Bistro ,San Francisco,19,692,13.4
542,Laichin ,El Dorado/Bethania,19,78,11.4
269,Slabón Café Bistró (Multiplaza) ,Paitilla/Punta Pacifica,19,810,13
560,Rincón Habanero ,El Carmen/El Cangrejo,19,202,11.9
286,Taisei Ramen ,San Francisco,19,300,13.4
447,La Rana Dorada (Costa del Este) ,Costa del Este,19,263,12.7
499,Par de Pintas ,San Francisco,19,347,11.8
506,Leños y Carbon (Multicentro) ,Paitilla/Punta Pacifica,19,119,10.6
222,Ciao Bella Pizza (San Francisco) ,San Francisco,19,1810,13.2
468,Fulo's Gastrobar ,San Francisco,19,394,12.5
374,Slabón Café Bristó (Centennial) ,Condado del Rey,19,115,12.6
224,Crepes & Waffles (Marbella) ,Bella Vista,19,1641,13.1
355,Coyo Taco ,San Francisco,19,273,12.4
474,La Rana Dorada (San Francisco) ,San Francisco,19,243,12.3
225,Miranda Bakery & Cafe ,San Francisco,19,1524,12.8
477,Brew  Stop (Marbella) ,Marbella/Area Bancaria,19,218,12.7
351,Ciao Ragazzi (Via Brasil) ,Obarrio,19,308,12.7
398,Mar & Green ,Albrook/Clayton,19,320,12.7
336,Agliorosso (Costa del Este) ,Costa del Este,19,473,12.8
237,Dodó - Bon Pan Café ,Casco Antiguo,19,340,13.7
453,La Rana Dorada (Centennial) ,Condado del Rey,19,190,12.9
419,Kaifish (Sortis) ,Obarrio,19,121,13.1
406,Nomada Eatery (Casco Antiguo) ,Casco Antiguo,19,212,12.8
623,Jade ,San Francisco,19,88,10
314,Fratelli Pizza & Pasta ,San Francisco,19,1302,13.1
233,Sukhi (Area Bancaria) ,Marbella/Area Bancaria,19,553,12.6
503,Amore Mio ,Paitilla/Punta Pacifica,19,209,11.5
214,The Wallace ,Obarrio,20,84,13.9
241,Tambor de Oro ,San Francisco,20,224,12.7
213,Ciao Ragazzi (Costa del Este) ,Costa del Este,20,164,12.7
209,Fonda Lo Que Hay ,Casco Antiguo,20,283,13
574,365,El Carmen/El Cangrejo,20,109,12
247,So Hot ,Condado del Rey,20,125,13.4
259,Napoli ,Obarrio,20,2227,12.9
232,Nacionsushi (Multiplaza) ,Paitilla/Punta Pacifica,20,585,13.3
575,Fish Trap ,Albrook/Clayton,20,105,11.4
624,Istmo Brew (Condado del Rey) ,Condado del Rey,20,86,11.3
238,La Scarpetta ,Bella Vista,20,280,13.1
276,Fragoloso Trattoria ,Bella Vista,20,459,13.2
552,Puerto del Rey ,Condado del Rey,20,121,12.3
427,B-dubs ,Bella Vista,20,1209,13
262,Nacionsushi (Altaplaza Mall) ,Condado del Rey,20,1818,12.9
413,Bistrot de Paris ,Albrook/Clayton,20,178,13
452,Charro Mexicano (Costa del Este) ,Costa del Este,20,191,12.5
397,Maisa (Condado del Rey) ,Condado del Rey,20,322,12.3
390,Sanborns ,Paitilla/Punta Pacifica,20,451,12.6
464,La Rana Dorada (El Cangrejo) ,El Carmen/El Cangrejo,20,606,12.8
389,Orale Tacos & Tequilas (El Dorado) ,El Dorado/Bethania,20,472,12.3
466,Bros And Beers ,El Carmen/El Cangrejo,20,396,12.2
385,La Rana Dorada (Casco Antiguo) ,Casco Antiguo,20,653,13.4
470,Wings Army ,Marbella/Area Bancaria,20,358,12
352,Tomato Pub Edition (Costa del Este) ,Costa del Este,20,285,13.3
347,Full Lucky (Condado del Rey) ,Condado del Rey,20,335,12.2
496,Hooters (Bella Vista) ,Bella Vista,20,540,11.8
321,Charro Mexicano (San Francisco) ,San Francisco,20,945,12.7
446,Score Sport Bar ,Obarrio,20,273,12.4
316,Brava Pizza & Espuma (Altaplaza Mall) ,Condado del Rey,20,1167,12.9
317,The Corner 76 (Costa del Este) ,Costa del Este,20,1153,13
